"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"MobileMedia_100_30100_0.9_layer-MobileMedia_200_20200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;29,8;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_200_20200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;40,3;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_200_60200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;7;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;5,60000000000001;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;68,1;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;51,7;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;16,4;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;29,8;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;55,4;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;51,4;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_100_90100_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;3,7;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_100_90100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;29,6;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_200_180200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;22,4;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_200_180200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;48;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_200_20200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;31,2;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_200_20200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;41,7;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_200_60200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;5,59999999999999;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;4,2;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;69,5;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;53,1;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;15;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;31,2;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;56,8;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;52,8;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_100_90100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;25,9;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_200_180200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;18,7;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_200_180200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;44,3;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_200_20200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;34,9;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_200_20200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;45,4;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_200_60200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;1,89999999999999;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;0,5;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;73,2;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;56,8;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;11,3;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;34,9;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;60,5;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;56,5;83,7271488159369;FALSE
"MobileMedia_100_90100_1.0_layer-MobileMedia_200_180200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;7,20000000000002;83,7271488159369;FALSE
"MobileMedia_100_90100_1.0_layer-MobileMedia_200_180200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;18,4;83,7271488159369;FALSE
"MobileMedia_100_90100_1.0_layer-MobileMedia_200_20200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;60,8;83,7271488159369;FALSE
"MobileMedia_100_90100_1.0_layer-MobileMedia_200_20200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;71,3;83,7271488159369;FALSE
"MobileMedia_100_90100_1.0_layer-MobileMedia_200_60200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;24;83,7271488159369;FALSE
"MobileMedia_100_90100_1.0_layer-MobileMedia_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;25,4;83,7271488159369;FALSE
"MobileMedia_100_90100_1.0_layer-MobileMedia_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;99,1;83,7271488159369;TRUE
"MobileMedia_100_90100_1.0_layer-MobileMedia_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;82,7;83,7271488159369;FALSE
"MobileMedia_100_90100_1.0_layer-MobileMedia_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;14,6;83,7271488159369;FALSE
"MobileMedia_100_90100_1.0_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;60,8;83,7271488159369;FALSE
"MobileMedia_100_90100_1.0_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;86,4;83,7271488159369;TRUE
"MobileMedia_100_90100_1.0_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;82,4;83,7271488159369;FALSE
"MobileMedia_200_180200_0.9_layer-MobileMedia_200_180200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;25,6;83,7271488159369;FALSE
"MobileMedia_200_180200_0.9_layer-MobileMedia_200_20200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;53,6;83,7271488159369;FALSE
"MobileMedia_200_180200_0.9_layer-MobileMedia_200_20200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;64,1;83,7271488159369;FALSE
"MobileMedia_200_180200_0.9_layer-MobileMedia_200_60200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;16,8;83,7271488159369;FALSE
"MobileMedia_200_180200_0.9_layer-MobileMedia_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;18,2;83,7271488159369;FALSE
"MobileMedia_200_180200_0.9_layer-MobileMedia_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;91,9;83,7271488159369;TRUE
"MobileMedia_200_180200_0.9_layer-MobileMedia_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;75,5;83,7271488159369;FALSE
"MobileMedia_200_180200_0.9_layer-MobileMedia_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;7,39999999999999;83,7271488159369;FALSE
"MobileMedia_200_180200_0.9_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;53,6;83,7271488159369;FALSE
"MobileMedia_200_180200_0.9_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;79,2;83,7271488159369;FALSE
"MobileMedia_200_180200_0.9_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;75,2;83,7271488159369;FALSE
"MobileMedia_200_180200_1.0_layer-MobileMedia_200_20200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;79,2;83,7271488159369;FALSE
"MobileMedia_200_180200_1.0_layer-MobileMedia_200_20200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;89,7;83,7271488159369;TRUE
"MobileMedia_200_180200_1.0_layer-MobileMedia_200_60200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;42,4;83,7271488159369;FALSE
"MobileMedia_200_180200_1.0_layer-MobileMedia_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;43,8;83,7271488159369;FALSE
"MobileMedia_200_180200_1.0_layer-MobileMedia_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;117,5;83,7271488159369;TRUE
"MobileMedia_200_180200_1.0_layer-MobileMedia_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;101,1;83,7271488159369;TRUE
"MobileMedia_200_180200_1.0_layer-MobileMedia_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;33;83,7271488159369;FALSE
"MobileMedia_200_180200_1.0_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;79,2;83,7271488159369;FALSE
"MobileMedia_200_180200_1.0_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;104,8;83,7271488159369;TRUE
"MobileMedia_200_180200_1.0_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;100,8;83,7271488159369;TRUE
"MobileMedia_200_20200_0.9_layer-MobileMedia_200_20200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;10,5;83,7271488159369;FALSE
"MobileMedia_200_20200_0.9_layer-MobileMedia_200_60200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;36,8;83,7271488159369;FALSE
"MobileMedia_200_20200_0.9_layer-MobileMedia_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;35,4;83,7271488159369;FALSE
"MobileMedia_200_20200_0.9_layer-MobileMedia_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;38,3;83,7271488159369;FALSE
"MobileMedia_200_20200_0.9_layer-MobileMedia_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;21,9;83,7271488159369;FALSE
"MobileMedia_200_20200_0.9_layer-MobileMedia_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;46,2;83,7271488159369;FALSE
"MobileMedia_200_20200_0.9_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;0;83,7271488159369;FALSE
"MobileMedia_200_20200_0.9_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;25,6;83,7271488159369;FALSE
"MobileMedia_200_20200_0.9_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;21,6;83,7271488159369;FALSE
"MobileMedia_200_20200_1.0_layer-MobileMedia_200_60200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;47,3;83,7271488159369;FALSE
"MobileMedia_200_20200_1.0_layer-MobileMedia_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;45,9;83,7271488159369;FALSE
"MobileMedia_200_20200_1.0_layer-MobileMedia_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;27,8;83,7271488159369;FALSE
"MobileMedia_200_20200_1.0_layer-MobileMedia_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;11,4;83,7271488159369;FALSE
"MobileMedia_200_20200_1.0_layer-MobileMedia_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;56,7;83,7271488159369;FALSE
"MobileMedia_200_20200_1.0_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;10,5;83,7271488159369;FALSE
"MobileMedia_200_20200_1.0_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;15,1;83,7271488159369;FALSE
"MobileMedia_200_20200_1.0_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;11,1;83,7271488159369;FALSE
"MobileMedia_200_60200_0.9_layer-MobileMedia_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;1,39999999999999;83,7271488159369;FALSE
"MobileMedia_200_60200_0.9_layer-MobileMedia_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;75,1;83,7271488159369;FALSE
"MobileMedia_200_60200_0.9_layer-MobileMedia_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;58,7;83,7271488159369;FALSE
"MobileMedia_200_60200_0.9_layer-MobileMedia_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;9,40000000000001;83,7271488159369;FALSE
"MobileMedia_200_60200_0.9_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;36,8;83,7271488159369;FALSE
"MobileMedia_200_60200_0.9_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;62,4;83,7271488159369;FALSE
"MobileMedia_200_60200_0.9_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;58,4;83,7271488159369;FALSE
"MobileMedia_200_60200_1.0_layer-MobileMedia_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;73,7;83,7271488159369;FALSE
"MobileMedia_200_60200_1.0_layer-MobileMedia_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;57,3;83,7271488159369;FALSE
