MSI    MAC     Extensibility       Elegance
835.0  8.354110207768743  1.5  0.353146757006288
799.0  10.364906832298136  1.5  0.3501912848546157
822.0  9.098809523809523  1.5  0.353146757006288
648.0  9.3859649122807  1.5  0.3582235454476438
974.0  7.642325895875591  1.5  0.3559816057457206
717.0  7.078787878787879  1.5  0.3559816057457206
961.0  8.124603174603175  1.5  0.3559816057457206
520.0  8.683333333333332  1.5  0.3458657465710493
489.0  8.201923076923077  1.5  0.3544780522937069
494.0  8.188034188034187  1.5  0.3489777625698752
575.0  9.630252100840336  1.5  0.353146757006288
524.0  9.708333333333334  1.5  0.353146757006288
522.0  9.624242424242425  1.5  0.353146757006288
569.0  9.536184210526315  1.5  0.353146757006288
587.0  8.901709401709402  1.5  0.353146757006288
545.0  9.841628959276019  1.5  0.353146757006288
