MSI    MAC     Extensibility       Elegance
87.0  16.63392857142857  1000.0  0.2762423105344265
93.0  16.543478260869566  1000.0  0.2860167947644471
96.0  16.11904761904762  1000.0  0.28318595008698877
97.0  16.570719602977668  1000.0  0.2871237535672396
91.0  16.31818181818182  1000.0  0.28029500154577525
94.0  16.873333333333335  1000.0  0.29110930392551804
89.0  16.305555555555557  1000.0  0.2921197803472973
174.0  12.80125  1000.0  0.29926510785232696
98.0  13.948924731182796  1000.0  0.29403185054572567
136.0  12.520408163265307  1000.0  0.29926510785232696
123.0  12.983760683760684  1000.0  0.29864677468458367
134.0  13.23822463768116  1000.0  0.2958618474470207
109.0  13.274390243902438  1000.0  0.2958618474470207
115.0  13.708020050125313  1000.0  0.29926510785232696
120.0  12.943255813953488  1000.0  0.29926510785232696
105.0  12.974747474747476  1000.0  0.29403250996635
101.0  14.492788461538462  1000.0  0.28673039152884316
106.0  13.235526315789475  1000.0  0.2985506126573918
