MSI    MAC     Extensibility       Elegance
428.0  9.0  1.5  0.3467334022788765
900.0  9.055052790346908  1.5  0.35435422093360774
631.0  6.567816091954023  1.5  0.37042590754489235
756.0  5.894444444444444  1.5  0.34490792456509645
431.0  8.5  1.5  0.3467334022788765
812.0  7.6883928571428575  1.5  0.34798611284278447
898.0  9.055944055944057  1.5  0.3494727594688708
473.0  8.454545454545455  1.5  0.3467334022788765
503.0  7.271428571428571  1.5  0.3477952243813277
510.0  6.378289473684211  1.5  0.3477952243813277
756.0  5.89336917562724  1.5  0.34798611284278447
480.0  7.291208791208791  1.5  0.3477952243813277
520.0  6.576315789473684  1.5  0.3500234201039685
475.0  8.446969696969697  1.5  0.3477952243813277
520.0  6.490338164251208  1.5  0.3477952243813277
589.0  6.501538461538462  1.5  0.3578356010388736
625.0  6.659151193633952  1.5  0.37042590754489235
565.0  6.081666666666667  1.5  0.35475201638602855
545.0  6.221532091097308  1.5  0.3508625254561071
553.0  6.126811594202899  1.5  0.35475201638602855
545.0  6.219367588932807  1.5  0.35475201638602855
627.0  6.57037037037037  1.5  0.3578356010388736
629.0  6.569047619047619  1.5  0.3578356010388736
419.0  10.411111111111111  1.5  0.3499072427930766
419.0  10.4  1.5  0.3521834037978243
