MSI    MAC     Extensibility       Elegance
1002.0  475.7737556561086  3.0  0.7168485444192387
983.0  105.09270516717325  3.0  0.7649442699849884
998.0  477.75274725274727  3.0  0.7134850431648176
1001.0  476.3515037593985  3.0  0.7141289154668053
973.0  105.32173913043478  3.0  0.764512034508922
972.0  110.88992248062016  3.0  0.764512034508922
976.0  114.47335203366059  3.0  0.768345018842412
973.0  117.63563049853371  3.0  0.7699719528661816
1045.0  104.95952380952382  3.0  0.7610428778190969
985.0  476.4036363636364  3.0  0.7361676539193511
969.0  123.54051927616051  3.0  0.7846893400203254
988.0  104.41851851851852  3.0  0.7610428778190969
984.0  104.05409060175795  3.0  0.7604934113888089
972.0  118.54051927616051  3.0  0.7841547490429672
