"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"BeT_100_30100_0.9_allComponents-BeT_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;20,3;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;7,40000000000001;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;38,7;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;38,8;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;4,09999999999999;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;2,8;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;3,59999999999999;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;68,6;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;29,5;83,7271488159369;FALSE
"BeT_100_30100_1.0_allComponents-BeT_100_90100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;2,40000000000001;83,7271488159369;FALSE
"BeT_100_30100_1.0_allComponents-BeT_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;41,3;83,7271488159369;FALSE
"BeT_100_30100_1.0_allComponents-BeT_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;45,3;83,7271488159369;FALSE
"BeT_100_30100_1.0_allComponents-BeT_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;15,2;83,7271488159369;FALSE
"BeT_100_30100_1.0_allComponents-BeT_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;32,7;83,7271488159369;FALSE
"BeT_100_30100_1.0_allComponents-BeT_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;31,3;83,7271488159369;FALSE
"BeT_100_30100_1.0_allComponents-BeT_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;18,4;83,7271488159369;FALSE
"BeT_100_30100_1.0_allComponents-BeT_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;27,7;83,7271488159369;FALSE
"BeT_100_30100_1.0_allComponents-BeT_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;49,8;83,7271488159369;FALSE
"BeT_100_30100_1.0_allComponents-BeT_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;6,90000000000001;83,7271488159369;FALSE
"BeT_100_30100_1.0_allComponents-BeT_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;8,2;83,7271488159369;FALSE
"BeT_100_30100_1.0_allComponents-BeT_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;7,40000000000001;83,7271488159369;FALSE
