MSI    MAC     Extensibility       Elegance
1051.0  101.89408450704225  3.0  0.7628045395208332
1096.0  101.06746031746032  3.0  0.7601791859717749
1223.0  102.25405214940099  3.0  0.7600348857792584
1098.0  101.06727005870842  3.0  0.7655474894950474
1025.0  101.31515151515151  3.0  0.7597281744419806
974.0  104.4891581632653  3.0  0.769026455962061
1224.0  103.32886178861789  3.0  0.7588263347769864
1159.0  102.23152376120412  3.0  0.7630210113483183
1246.0  102.01136363636364  3.0  0.7588263347769864
1283.0  101.39677812373088  3.0  0.7601228701523017
1140.0  103.25436632333184  3.0  0.7601228701523017
990.0  104.38589743589745  3.0  0.7591944760245601
1296.0  102.95497076023392  3.0  0.7601228701523017
963.0  117.46444444444444  3.0  0.7563277029196706
1298.0  98.8657616892911  3.0  0.7491620552009386
978.0  102.7169696969697  3.0  0.7440244513722036
991.0  101.61818181818181  3.0  0.7618994975005033
980.0  101.52  3.0  0.7672245270561929
970.0  110.38840579710146  3.0  0.7417141667326034
968.0  116.82970742685671  3.0  0.7568848648891104
967.0  110.78888888888889  3.0  0.7689365746594496
972.0  106.81484257871064  3.0  0.7689388456651663
974.0  104.81484257871064  3.0  0.7870672742000352
2386.0  95.45346994226198  3.0  0.7473184401741058
1444.0  95.815625  3.0  0.7551444473030292
2082.0  97.11771159874608  3.0  0.7494508836182624
1874.0  95.67309997602494  3.0  0.7494508836182624
2039.0  97.49371039440082  3.0  0.7494508836182624
1847.0  96.0249226006192  3.0  0.7494508836182624
1746.0  95.57831325301206  3.0  0.7507959031256564
1734.0  95.8412930474334  3.0  0.7507959031256564
1639.0  95.15726495726496  3.0  0.7507959031256564
1484.0  94.92490591857681  3.0  0.7507959031256564
1561.0  94.66376030437539  3.0  0.7541809253234613
1590.0  94.76880096647538  3.0  0.7507959031256564
1872.0  95.39424724602203  3.0  0.7507959031256564
1467.0  94.7704947634525  3.0  0.7507959031256564
2060.0  97.28769571136829  3.0  0.7494508836182624
