MSI    MAC     Extensibility       Elegance
1297.0  102.48618233618232  3.0  0.7575590268138636
1180.0  101.781425891182  3.0  0.757675139874835
1021.0  101.72344610542879  3.0  0.7578958065436396
1142.0  102.21333333333334  3.0  0.7589636011935255
1111.0  102.05795795795797  3.0  0.7608496352479188
1283.0  103.01030927835052  3.0  0.7581105413765709
1268.0  103.89123595505617  3.0  0.7581105413765709
1259.0  103.89149425287356  3.0  0.7545136517697528
1277.0  102.91052631578948  3.0  0.7599478731885437
1001.0  103.38058551617873  3.0  0.7593782543039255
976.0  104.01851851851852  3.0  0.7644233661197448
996.0  471.09047619047624  3.0  0.7256192916350739
983.0  474.17931688804555  3.0  0.7261807012568231
1871.0  107.96119909502262  3.0  0.7411340211719664
1707.0  107.34139784946238  3.0  0.7411340211719664
1499.0  103.59054294382257  3.0  0.7433797084494297
1105.0  103.34741784037558  3.0  0.7569641373991469
1461.0  104.2734778121775  3.0  0.7433797084494297
1344.0  102.82703137570394  3.0  0.7562141274246392
1210.0  102.84496124031007  3.0  0.757221598266764
1165.0  104.12613636363636  3.0  0.7578958065436396
1204.0  104.01190476190476  3.0  0.757221598266764
1469.0  103.34188034188034  3.0  0.7433797084494297
975.0  107.26851851851852  3.0  0.7615815714913501
1333.0  103.69565807327002  3.0  0.7556510911629744
1337.0  103.69557617318812  3.0  0.7562141274246392
967.0  122.50514756348662  3.0  0.7634895049522987
970.0  116.37483870967742  3.0  0.7526425664034393
983.0  472.35686274509806  3.0  0.7086817251746307
1034.0  100.9422138836773  3.0  0.7606225552837695
986.0  102.4743842364532  3.0  0.7588241936610753
1176.0  102.62018881626724  3.0  0.7606225552837695
971.0  105.22  3.0  0.7660859008333116
972.0  110.3954081632653  3.0  0.7543466418520777
976.0  105.75220125786164  3.0  0.7660859008333116
1864.0  103.38904163393559  3.0  0.7554349716584396
984.0  103.35151515151514  3.0  0.7615684907992245
1847.0  103.31424242424242  3.0  0.7554349716584396
1836.0  104.72222222222223  3.0  0.7550610086526234
967.0  117.72173913043478  3.0  0.7867219519504942
1070.0  102.20619524405507  3.0  0.7870117422099623
