,statistic,signif.level,dif.com.obs.dif,dif.com.critical.dif,dif.com.difference,,,
agm_100_30100_0.9_layer-agm_50_45050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,6,5,83,7271488159369,FALSE
agm_100_30100_0.9_layer-agm_50_45050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,34,2,83,7271488159369,FALSE
agm_100_30100_0.9_layer-agm_50_5050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,70,7,83,7271488159369,FALSE
agm_100_30100_0.9_layer-agm_50_5050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,63,1,83,7271488159369,FALSE
agm_100_30100_1.0_layer-agm_100_90100_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,65,83,7271488159369,,FALSE
agm_100_30100_1.0_layer-agm_100_90100_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,61,3,83,7271488159369,FALSE
agm_100_30100_1.0_layer-agm_200_180200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,64,1,83,7271488159369,FALSE
agm_100_30100_1.0_layer-agm_200_180200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,70,4,83,7271488159369,FALSE
agm_100_30100_1.0_layer-agm_200_20200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,25,2,83,7271488159369,FALSE
agm_100_30100_1.0_layer-agm_200_20200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,29,3,83,7271488159369,FALSE
agm_100_30100_1.0_layer-agm_200_60200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,40,7,83,7271488159369,FALSE
agm_100_30100_1.0_layer-agm_200_60200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,39,5,83,7271488159369,FALSE
agm_100_30100_1.0_layer-agm_50_15050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,29,5,83,7271488159369,FALSE
agm_100_30100_1.0_layer-agm_50_15050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,25,4,83,7271488159369,FALSE
agm_100_30100_1.0_layer-agm_50_45050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,9,60000000000001,83,7271488159369,FALSE
agm_100_30100_1.0_layer-agm_50_45050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,37,3,83,7271488159369,FALSE
agm_100_30100_1.0_layer-agm_50_5050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,67,6,83,7271488159369,FALSE
agm_100_30100_1.0_layer-agm_50_5050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,60,83,7271488159369,,FALSE
agm_100_90100_0.9_layer-agm_100_90100_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,3,69999999999999,83,7271488159369,FALSE
agm_100_90100_0.9_layer-agm_200_180200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,0,900000000000006,83,7271488159369,FALSE
agm_100_90100_0.9_layer-agm_200_180200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,5,40000000000001,83,7271488159369,FALSE
agm_100_90100_0.9_layer-agm_200_20200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,90,2,83,7271488159369,TRUE
agm_100_90100_0.9_layer-agm_200_20200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,94,3,83,7271488159369,TRUE
agm_100_90100_0.9_layer-agm_200_60200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,24,3,83,7271488159369,FALSE
agm_100_90100_0.9_layer-agm_200_60200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,25,5,83,7271488159369,FALSE
agm_100_90100_0.9_layer-agm_50_15050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,94,5,83,7271488159369,TRUE
agm_100_90100_0.9_layer-agm_50_15050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,90,4,83,7271488159369,TRUE
agm_100_90100_0.9_layer-agm_50_45050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,55,4,83,7271488159369,FALSE
agm_100_90100_0.9_layer-agm_50_45050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,27,7,83,7271488159369,FALSE
agm_100_90100_0.9_layer-agm_50_5050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,132,6,83,7271488159369,TRUE
agm_100_90100_0.9_layer-agm_50_5050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,125,83,7271488159369,,TRUE
agm_100_90100_1.0_layer-agm_200_180200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,2,79999999999998,83,7271488159369,FALSE
agm_100_90100_1.0_layer-agm_200_180200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,9,9999999999999,83,7271488159369,FALSE
agm_100_90100_1.0_layer-agm_200_20200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,86,5,83,7271488159369,TRUE
agm_100_90100_1.0_layer-agm_200_20200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,90,6,83,7271488159369,TRUE
agm_100_90100_1.0_layer-agm_200_60200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,20,6,83,7271488159369,FALSE
agm_100_90100_1.0_layer-agm_200_60200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,21,8,83,7271488159369,FALSE
