MSI    MAC     Extensibility       Elegance
740.0  6.273613193403299  1.5  0.3541153526466194
478.0  8.369047619047619  1.5  0.35114854862840666
536.0  7.008333333333334  1.5  0.35679403102661683
579.0  6.435606060606061  1.5  0.3592530514883766
566.0  6.869047619047619  1.5  0.35679403102661683
575.0  6.43741765480896  1.5  0.35679403102661683
728.0  7.610714285714286  1.5  0.3541153526466194
435.0  9.425  1.5  0.34389322466651207
437.0  9.4  1.5  0.34389322466651207
765.0  7.224822695035461  1.5  0.36708440269667064
638.0  6.793793793793793  1.5  0.36199012829096566
614.0  7.3287841191067  1.5  0.36199012829096566
502.0  8.50326797385621  1.5  0.3501912848546157
496.0  9.821428571428571  1.5  0.3458657465710493
511.0  8.351851851851853  1.5  0.34889195513829063
610.0  7.49  1.5  0.34889195513829063
