"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"banking_100_30100_0.9_clientserver-banking_200_60200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;30,5;83,7271488159369;FALSE
"banking_100_30100_0.9_clientserver-banking_200_60200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;34,65;83,7271488159369;FALSE
"banking_100_30100_0.9_clientserver-banking_50_15050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;11,15;83,7271488159369;FALSE
"banking_100_30100_0.9_clientserver-banking_50_15050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;23,65;83,7271488159369;FALSE
"banking_100_30100_0.9_clientserver-banking_50_45050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;21,05;83,7271488159369;FALSE
"banking_100_30100_0.9_clientserver-banking_50_45050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;7,60000000000001;83,7271488159369;FALSE
"banking_100_30100_0.9_clientserver-banking_50_5050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;36,1;83,7271488159369;FALSE
"banking_100_30100_0.9_clientserver-banking_50_5050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;42,2;83,7271488159369;FALSE
"banking_100_30100_1.0_clientserver-banking_100_90100_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;5,60000000000001;83,7271488159369;FALSE
"banking_100_30100_1.0_clientserver-banking_100_90100_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;7,30000000000001;83,7271488159369;FALSE
"banking_100_30100_1.0_clientserver-banking_200_180200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;38,85;83,7271488159369;FALSE
"banking_100_30100_1.0_clientserver-banking_200_180200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;37,35;83,7271488159369;FALSE
"banking_100_30100_1.0_clientserver-banking_200_20200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;12,1;83,7271488159369;FALSE
"banking_100_30100_1.0_clientserver-banking_200_20200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;18,95;83,7271488159369;FALSE
"banking_100_30100_1.0_clientserver-banking_200_60200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;0,950000000000003;83,7271488159369;FALSE
"banking_100_30100_1.0_clientserver-banking_200_60200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;5,10000000000001;83,7271488159369;FALSE
"banking_100_30100_1.0_clientserver-banking_50_15050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;40,7;83,7271488159369;FALSE
"banking_100_30100_1.0_clientserver-banking_50_15050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;5,89999999999999;83,7271488159369;FALSE
"banking_100_30100_1.0_clientserver-banking_50_45050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;8,5;83,7271488159369;FALSE
"banking_100_30100_1.0_clientserver-banking_50_45050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;21,95;83,7271488159369;FALSE
"banking_100_30100_1.0_clientserver-banking_50_5050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;65,65;83,7271488159369;FALSE
"banking_100_30100_1.0_clientserver-banking_50_5050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;71,75;83,7271488159369;FALSE
"banking_100_90100_0.9_clientserver-banking_100_90100_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;1,7;83,7271488159369;FALSE
"banking_100_90100_0.9_clientserver-banking_200_180200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;33,25;83,7271488159369;FALSE
"banking_100_90100_0.9_clientserver-banking_200_180200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;31,75;83,7271488159369;FALSE
"banking_100_90100_0.9_clientserver-banking_200_20200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;17,7;83,7271488159369;FALSE
"banking_100_90100_0.9_clientserver-banking_200_20200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;24,55;83,7271488159369;FALSE
"banking_100_90100_0.9_clientserver-banking_200_60200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;4,65000000000001;83,7271488159369;FALSE
"banking_100_90100_0.9_clientserver-banking_200_60200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;0,5;83,7271488159369;FALSE
"banking_100_90100_0.9_clientserver-banking_50_15050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;46,3;83,7271488159369;FALSE
"banking_100_90100_0.9_clientserver-banking_50_15050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;11,5;83,7271488159369;FALSE
"banking_100_90100_0.9_clientserver-banking_50_45050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;14,1;83,7271488159369;FALSE
