MSI    MAC     Extensibility       Elegance
989.0  102.88206896551723  3.0  0.7610428778190969
1108.0  100.38494983277593  3.0  0.7473338783619258
1008.0  102.33210784313725  3.0  0.7623492311301971
1058.0  100.85996240601503  3.0  0.7480161592081921
1092.0  102.14459857082808  3.0  0.7486819296069094
986.0  104.58749999999999  3.0  0.7643314278175455
984.0  105.89627659574468  3.0  0.7648145425400703
1102.0  102.14433416046319  3.0  0.7492591001263383
1054.0  101.24040404040404  3.0  0.7489767675193322
1028.0  102.61261792452831  3.0  0.749632528390159
988.0  102.6204081632653  3.0  0.7610422817195428
965.0  121.73348694316437  3.0  0.7571776552539081
967.0  113.98877305533279  3.0  0.7545067837935866
970.0  110.37524687294272  3.0  0.7654548815391775
972.0  113.67752659574468  3.0  0.7517484841194378
974.0  108.054890921886  3.0  0.7635608078938495
972.0  108.05531609195403  3.0  0.7630205584747474
969.0  113.98824451410657  3.0  0.755063055616511
